Date,Station Name,Livestock Count,Feed Cost,Milk Production (L),Revenue,Expenses,Region
07-01-2024,Delta Farm,183,3748,5658,12852,8284,West
27/01/2024,Gamma Farm,183,3094,5447,16115,8125,West
26-02-2024,Beta Farm,179,4109,4089,17162,7101,East
03/01/2024,Beta Farm,172,2971,5862,15328,8959,South
02-02-2024,Omega Farm,167,3178,5423,13698,9176,South
28/01/2024,Gamma Farm,198,3006,5846,17180,6845,West
14-02-2024,Gamma Farm,157,3472,4603,11180,8186,North
22/01/2024,Alpha Farm,130,3218,,17907,9848,North
18-01-2024,Omega Farm,121,2834,5474,17195,8452,South
19/02/2024,Gamma Farm,159,3401,4305,17878,7493,East
29-01-2024,Alpha Farm,186,3930,5938,17529,7732,North
19/01/2024,Beta Farm,138,3166,4976,17937,8471,South
29-02-2024,Beta Farm,144,2927,5027,13269,8545,North
10/02/2024,Delta Farm,124,3322,5562,17133,7838,West
12-02-2024,Omega Farm,173,3553,4313,16677,7737,South
28/02/2024,Alpha Farm,131,2955,4683,17715,7674,South
15-02-2024,Gamma Farm,193,4171,5742,15402,7590,West
21/01/2024,Gamma Farm,197,3989,4081,13436,7681,East
24-01-2024,Gamma Farm,189,3520,5149,13702,9146,West
19/01/2024,Omega Farm,133,3754,4750,12916,9682,East
19-01-2024,Beta Farm,169,3507,4849,17251,7198,East
19/01/2024,Beta Farm,142,3370,5043,17463,8224,West
15-02-2024,Omega Farm,144,3457,4811,13079,7089,North
21/02/2024,Alpha Farm,139,3233,5567,13879,9971,West
27-02-2024,Beta Farm,148,3501,,12645,7006,East
02/02/2024,Omega Farm,155,3564,5234,17675,6758,North
08-02-2024,Beta Farm,162,3976,4167,13699,6827,East
10/01/2024,Gamma Farm,185,3055,5942,11124,7554,West
17-01-2024,Alpha Farm,164,,5099,13363,7257,West
19/02/2024,Gamma Farm,182,4046,4021,15251,8863,East
30-01-2024,Omega Farm,199,3776,5707,16393,7569,East
15/02/2024,Gamma Farm,180,4045,4550,15736,7196,West
13-02-2024,Omega Farm,126,3609,4829,13872,9411,North
08/02/2024,Gamma Farm,127,3709,4959,14831,8393,West
18-02-2024,Alpha Farm,189,3389,4418,11522,7603,West
15/01/2024,Beta Farm,189,,5421,13008,8163,West
23-01-2024,Delta Farm,141,3500,4928,11191,8771,West
07/02/2024,Alpha Farm,186,3166,4540,17417,9924,West
01-03-2024,Delta Farm,,3435,,16033,9860,South
11/02/2024,Omega Farm,173,3048,4525,13520,7295,North
18-01-2024,Alpha Farm,180,3594,5187,13835,7523,West
21/02/2024,Delta Farm,156,3116,5398,16736,9988,South
14-01-2024,Beta Farm,186,3084,4532,15076,8751,North
13/01/2024,Beta Farm,199,4133,5774,14929,6841,East
27-01-2024,Alpha Farm,190,4108,5004,13516,9653,East
01/03/2024,Gamma Farm,176,3740,5518,12949,8451,South
01-02-2024,Gamma Farm,126,3448,4467,16522,7604,South
28/01/2024,Gamma Farm,132,3355,4757,16932,6563,South
18-01-2024,Delta Farm,160,3662,4009,16865,7805,North
02/02/2024,Gamma Farm,143,3539,5371,15441,9990,East
17-01-2024,Omega Farm,177,3915,4969,15584,7401,South
05/02/2024,Gamma Farm,126,4055,5218,12072,7032,East
04-01-2024,Beta Farm,168,3197,5277,13174,6840,West
17/01/2024,Alpha Farm,120,3557,5964,11868,8769,East
17-02-2024,Gamma Farm,143,3140,5584,16926,7707,South
17/01/2024,Delta Farm,180,3518,5428,17749,6806,North
09-01-2024,Gamma Farm,168,3171,4707,17593,8407,East
06/02/2024,Beta Farm,130,4189,5931,12882,9790,South
06-02-2024,Beta Farm,198,4072,,17813,7428,East
27/02/2024,Delta Farm,135,3415,,11746,8662,North
12-01-2024,Alpha Farm,137,3194,5856,16219,7776,West
28/01/2024,Alpha Farm,198,,5172,11295,7452,North
02-02-2024,Omega Farm,126,2963,,15077,7969,East
16/02/2024,Omega Farm,148,3963,4523,12593,7579,North
15-02-2024,Gamma Farm,124,3984,4644,15335,7573,North
17/02/2024,Delta Farm,162,2897,5841,15850,8655,South
27-02-2024,Delta Farm,196,2954,5790,11169,6847,South
14/02/2024,Delta Farm,157,3710,4436,15572,7637,North
05-02-2024,Gamma Farm,166,3439,4673,14492,8921,North
15/02/2024,Alpha Farm,173,4084,4040,15284,9688,West
30-01-2024,Alpha Farm,183,4139,4031,12525,6840,East
11/01/2024,Beta Farm,179,3602,4368,11053,6833,East
06-01-2024,Alpha Farm,121,3082,5599,14100,7005,East
31/01/2024,Omega Farm,130,4170,4767,12028,8675,North
24-01-2024,Delta Farm,171,3855,4736,16257,7796,North
10/02/2024,Delta Farm,,2939,5515,13682,9454,North
17-01-2024,Alpha Farm,183,2849,4527,13999,8066,North
25/01/2024,Gamma Farm,194,2896,4203,12753,9933,North
17-01-2024,Omega Farm,178,2876,4178,13549,7876,West
15/01/2024,Delta Farm,141,3558,4186,13819,7130,West
08-01-2024,Alpha Farm,153,3629,5476,13586,9681,East
04/02/2024,Beta Farm,144,3526,4454,11282,8120,East
27-02-2024,Alpha Farm,129,2928,5221,17201,7028,North
23/01/2024,Gamma Farm,138,3217,4906,14169,6982,North
07-02-2024,Alpha Farm,183,4091,5221,16613,6607,East
14/01/2024,Beta Farm,196,3989,4531,11492,8294,East
17-02-2024,Beta Farm,186,3519,4067,14134,8654,North
26/01/2024,Beta Farm,199,3488,4334,15460,9241,North
11-01-2024,Gamma Farm,156,3675,5859,15851,8166,West
16/02/2024,Omega Farm,198,4198,5489,14215,8867,East
02-02-2024,Beta Farm,188,2919,,11426,7407,West
28/01/2024,Beta Farm,143,3304,5050,15399,7542,North
17-01-2024,Delta Farm,141,4049,4597,11693,7104,East
03/01/2024,Beta Farm,135,3772,4065,12650,7313,East
02-02-2024,Alpha Farm,178,2935,4693,15909,8354,North
10/01/2024,Beta Farm,193,3560,5893,17933,8538,North
22-02-2024,Gamma Farm,173,3397,5050,17577,9972,East
14/01/2024,Alpha Farm,,2869,4420,12690,8410,East
25-02-2024,Gamma Farm,155,3736,4738,14343,8483,North
16/02/2024,Gamma Farm,161,4146,5576,11128,8784,North
18-01-2024,Gamma Farm,183,3985,5459,12695,8528,South
24/02/2024,Gamma Farm,138,3738,4991,17230,8264,West
08-01-2024,Alpha Farm,121,4138,5495,17530,9496,South
16/01/2024,Beta Farm,,3351,4086,13300,7304,South
02-01-2024,Beta Farm,142,2845,5157,13588,9013,South
27/02/2024,Beta Farm,130,4022,5960,11937,8481,North
26-01-2024,Beta Farm,185,3758,5059,13627,9552,West
05/01/2024,Alpha Farm,149,3250,5543,15679,8205,East
21-01-2024,Beta Farm,200,4139,4474,16487,9646,West
04/02/2024,Alpha Farm,189,3920,4248,12443,8602,South
19-01-2024,Alpha Farm,133,2971,5922,13453,8418,South
16/02/2024,Delta Farm,146,3574,4137,16279,8566,South
15-02-2024,Delta Farm,179,3748,5303,11497,6960,North
29/02/2024,Alpha Farm,145,4007,4709,15770,6886,North
28-01-2024,Gamma Farm,194,3562,4671,16837,8235,North
26/01/2024,Beta Farm,164,3501,4355,17954,7407,West
19-01-2024,Delta Farm,188,3600,4434,11866,7101,West
19/02/2024,Delta Farm,,,4607,15170,6596,West
23-02-2024,Alpha Farm,197,3374,5096,13163,8732,North
15/02/2024,Delta Farm,183,3541,5040,12874,6818,South
24-02-2024,Omega Farm,140,3687,4035,15739,7051,East
07/02/2024,Omega Farm,173,3016,5410,17413,8840,North
27-02-2024,Alpha Farm,140,4019,4088,16755,9133,West
17/01/2024,Beta Farm,194,3234,4413,15752,7358,East
31-01-2024,Delta Farm,125,3357,5280,17606,9649,South
23/02/2024,Alpha Farm,,3885,4374,13827,7293,West
